provincia,anio,poblacion_total,poblacion_varones,poblacion_mujeres,provincia_id,hogares,viviendas_particulares,viviendas_particulares_habitadas,superficie_km2,densidad_de_poblacion,fuera_de_rango
Capital Federal,2010,3028481,1405566,1622915,2,1150134,1423973,1082998,200,15142.405,4.731965676764083
Capital Federal,2011,3033639,1409835,1623804,2,1150134,1423973,1082998,200,15168.195,4.740389216720245
Capital Federal,2012,3038860,1414105,1624755,2,1150134,1423973,1082998,200,15194.3,4.748915642100456
Capital Federal,2013,3044076,1418339,1625737,2,1150134,1423973,1082998,200,15220.38,4.7574339019708205
Capital Federal,2014,3049229,1422507,1626722,2,1150134,1423973,1082998,200,15246.145,4.765849276417139
Capital Federal,2015,3054267,1426582,1627685,2,1150134,1423973,1082998,200,15271.335,4.77407684413702
Capital Federal,2016,3059122,1430531,1628591,2,1150134,1423973,1082998,200,15295.61,4.782005554196573
Capital Federal,2017,3063728,1434323,1629405,2,1150134,1423973,1082998,200,15318.64,4.789527621865841
Capital Federal,2018,3068043,1437936,1630107,2,1150134,1423973,1082998,200,15340.215,4.7965744568621265
Capital Federal,2019,3072029,1441350,1630679,2,1150134,1423973,1082998,200,15360.145,4.803084001310608
Capital Federal,2020,3075646,1444545,1631101,2,1150134,1423973,1082998,200,15378.23,4.808990931132524
Capital Federal,2021,3078836,1447495,1631341,2,1150134,1423973,1082998,200,15394.18,4.814200526413671
Capital Federal,2022,3081550,1450179,1631371,2,1150134,1423973,1082998,200,15407.75,4.818632765157569
Capital Federal,2023,3083770,1452588,1631182,2,1150134,1423973,1082998,200,15418.85,4.822258251528775
Capital Federal,2024,3085483,1454716,1630767,2,1150134,1423973,1082998,200,15427.415,4.825055755201693
Capital Federal,2025,3086680,1456560,1630120,2,1150134,1423973,1082998,200,15433.4,4.8270105782586
Capital Federal,2026,3087338,1458111,1629227,2,1150134,1423973,1082998,200,15436.69,4.82808515935421
Capital Federal,2027,3087434,1459359,1628075,2,1150134,1423973,1082998,200,15437.17,4.828241937143234
Capital Federal,2028,3086973,1460309,1626664,2,1150134,1423973,1082998,200,15434.865,4.82748907713552
Capital Federal,2029,3085971,1460970,1625001,2,1150134,1423973,1082998,200,15429.855,4.82585270896257
Capital Federal,2030,3084450,1461355,1623095,2,1150134,1423973,1082998,200,15422.25,4.823368760867703
Capital Federal,2031,3082415,1461471,1620944,2,1150134,1423973,1082998,200,15412.075,4.820045398360764
Capital Federal,2032,3079869,1461324,1618545,2,1150134,1423973,1082998,200,15399.345,4.81588752074766
Capital Federal,2033,3076845,1460932,1615913,2,1150134,1423973,1082998,200,15384.225,4.810949020393369
Capital Federal,2034,3073375,1460312,1613063,2,1150134,1423973,1082998,200,15366.875,4.805282156560898
Capital Federal,2035,3069488,1459479,1610009,2,1150134,1423973,1082998,200,15347.44,4.798934289207349
Capital Federal,2036,3065183,1458434,1606749,2,1150134,1423973,1082998,200,15325.915,4.791903785230754
Capital Federal,2037,3060454,1457173,1603281,2,1150134,1423973,1082998,200,15302.27,4.7841808460192965
Capital Federal,2038,3055302,1455695,1599607,2,1150134,1423973,1082998,200,15276.51,4.775767104674948
Capital Federal,2039,3049723,1453997,1595726,2,1150134,1423973,1082998,200,15248.615,4.76665602878983
Capital Federal,2040,3043704,1452069,1591635,2,1150134,1423973,1082998,200,15218.52,4.756826388038349
Buenos Aires,2010,15716942,7678592,8038350,6,4789484,5377786,4425193,307571,51.10020775690816,-0.1971622374697686
